[22/05/2020 17:14:29] --- CONFIRMED CASES FILE CHECK
[22/05/2020 17:14:29] no new countries added
[22/05/2020 17:14:29] no new date added
[22/05/2020 17:14:29] --- DEATHS FILE CHECK
[22/05/2020 17:14:29] no new countries added
[22/05/2020 17:14:29] no new date added
[22/05/2020 17:14:29] --- POLICY FILE CHECK
[22/05/2020 17:14:29] no new countries added
[22/05/2020 17:14:29] no new date added
[23/05/2020 03:34:18] --- CONFIRMED CASES FILE CHECK
[23/05/2020 03:34:18] no new countries added
[23/05/2020 03:34:18] new date added: {'5/22/20'}
[23/05/2020 03:34:18] --- DEATHS FILE CHECK
[23/05/2020 03:34:18] no new countries added
[23/05/2020 03:34:18] new date added: {'5/22/20'}
[23/05/2020 03:34:18] --- POLICY FILE CHECK
[23/05/2020 03:34:18] no new countries added
[23/05/2020 03:34:18] new date added: {20200523}
